Cluster           [Fe/H]  e_[Fe/H]
NGC_1579           0.190  0.550
NGC_1582          -0.072  0.110
NGC_1605          -0.079  0.071
NGC_1647           0.119  0.077
NGC_1662          -0.100  0.006
NGC_1664          -0.009  0.013
NGC_1708           0.143  0.068
NGC_1724          -0.322  0.126
NGC_1750           0.060  0.057
NGC_1758           0.098  0.073
NGC_1778          -0.072  0.106
NGC_1798          -0.100  0.015
NGC_1817          -0.100  0.019
NGC_1857          -0.199  0.131
NGC_188            0.112  0.020
NGC_1883          -0.205  0.090
NGC_189            0.119  0.152
NGC_1893          -0.104  0.105
NGC_1901          -0.042  0.076
NGC_1907          -0.058  0.025
NGC_1912           0.014  0.082
NGC_1960          -0.030  0.085
NGC_1977          -0.184  0.079
NGC_1980          -0.242  0.091
NGC_2099           0.014  0.020
NGC_2112           0.139  0.039
NGC_2126           0.016  0.084
NGC_2129          -0.070  0.070
NGC_2141           0.300  0.063
NGC_2168          -0.123  0.058
NGC_2169          -0.092  0.096
NGC_2183          -0.058  0.091
NGC_2184          -0.077  0.059
NGC_2186          -0.153  0.052
NGC_2192          -0.181  0.052
NGC_2194          -0.067  0.066
NGC_2204          -0.175  0.044
NGC_2215           0.051  0.125
NGC_2225           0.012  0.073
NGC_2232           0.016  0.068
NGC_2236          -0.100  0.058
NGC_2243          -0.482  0.060
NGC_2244          -0.214  0.084
NGC_225            0.202  0.131
NGC_2251          -0.092  0.090
NGC_2254          -0.147  0.058
NGC_2259          -0.152  0.106
NGC_2262          -0.107  0.039
NGC_2264          -0.184  0.110
NGC_2266          -0.163  0.041
NGC_2269          -0.100  0.160
NGC_2281          -0.037  0.061
NGC_2286          -0.099  0.085
NGC_2287          -0.100  0.004
NGC_2301           0.057  0.043
NGC_2302          -0.025  0.043
NGC_2304          -0.100  0.039
NGC_2309          -0.111  0.073
NGC_2311          -0.079  0.057
NGC_2318           0.009  0.020
NGC_2323           0.000  0.061
NGC_2324          -0.216  0.058
NGC_2335          -0.071  0.101
NGC_2343           0.063  0.110
NGC_2345          -0.100  0.084
NGC_2353          -0.055  0.049
NGC_2354          -0.147  0.025
NGC_2355           0.019  0.033
NGC_2358          -0.013  0.094
NGC_2360          -0.045  0.060
NGC_2362          -0.104  0.073
NGC_2367          -0.065  0.125
NGC_2374           0.041  0.127
NGC_2383          -0.174  0.043
NGC_2384          -0.147  0.209
NGC_2396          -0.081  0.085
NGC_2401          -0.168  0.081
NGC_2414          -0.198  0.078
NGC_2420          -0.100  0.035
NGC_2421          -0.100  0.070
NGC_2422           0.132  0.054
NGC_2423           0.122  0.038
NGC_2425           0.047  0.089
NGC_2428          -0.043  0.064
NGC_2432           0.014  0.105
NGC_2437           0.011  0.071
NGC_2439          -0.117  0.074
NGC_2447          -0.051  0.010
NGC_2448          -0.107  0.056
NGC_2451A          0.050  0.057
NGC_2451B          0.050  0.054
NGC_2453          -0.171  0.063
NGC_2455          -0.222  0.107
NGC_2477           0.075  0.025
NGC_2479          -0.104  0.123
NGC_2482           0.031  0.139
NGC_2489           0.313  0.136
NGC_2506          -0.247  0.055
NGC_2509           0.082  0.137
NGC_2516          -0.008  0.028
NGC_2527          -0.019  0.045
NGC_2533          -0.103  0.080
NGC_2539           0.015  0.087
NGC_2546           0.112  0.090
